"Time","ClientVersion","IP","Platform"
"2022-08-17T12:11:26Z","4.0.6.2415","52.94.133.130","Windows"
"2022-08-17T02:29:57Z","4.0.6.2415","72.21.198.67","Windows"
"2022-08-16T22:17:31Z","4.0.6.2415","72.21.198.67","Windows"
"2022-08-16T22:16:40Z","4.0.6.2415","72.21.198.67","Windows"
"2022-08-16T21:24:24Z","4.0.6.2415","52.94.133.139","Windows"
"2022-08-16T18:49:56Z","5.0.0.2559","74.135.184.77","Windows"
"2022-08-16T18:30:17Z","2.4.20","74.135.184.77","iOS"
"2022-08-16T17:28:49Z","5.0.0.2559","74.135.184.77","Windows"
"2022-08-16T17:27:17Z","4.0.6.2415","52.94.133.139","Windows"
"2022-08-16T17:18:35Z","2.4.15","74.135.184.77","Android"
"2022-08-16T16:14:26Z","4.0.6.2415","72.21.198.67","Windows"
"2022-08-16T16:11:55Z","5.0.0.2559","74.135.184.77","Windows"
"2022-08-16T16:11:08Z","3.1.4.1996","72.21.198.66","Windows"
"2022-08-16T16:10:53Z","3.0.4.0","74.135.184.77","Android"
"2022-08-16T16:07:15Z",,"74.135.184.77","Web"
"2022-08-16T16:06:30Z","4.0.1.1302","74.135.184.77","Linux"
"2022-08-11T14:21:14Z","5.0.0.2559","74.135.184.77","Windows"
